1335364190131	58.96	39.85	-19.11
1335364192291	59.95	40.39	-19.56
1335364194450	60.07	40.92	-19.15
1335364196608	59.42	41.45	-17.97
1335364198766	59.53	41.99	-17.54
1335364200925	59.58	42.52	-17.05
1335364203084	60.46	43.05	-17.41
1335364205243	61.47	43.59	-17.88
1335364207402	62.12	44.12	-18.00
1335364209561	62.14	44.65	-17.49
1335364211720	62.78	45.19	-17.59
1335364213878	63.23	45.72	-17.51
1335364216037	63.41	46.26	-17.15
1335364221491	55.50	39.83	-15.67
1335364223894	57.57	40.38	-17.19
1335364226296	58.13	40.94	-17.19
1335364228699	58.66	41.50	-17.16
1335364231101	59.06	42.06	-17.00
1335364233504	60.19	42.62	-17.57
1335364235905	61.88	43.18	-18.70
1335364238309	63.03	43.73	-19.30
1335364240711	62.71	44.29	-18.42
1335364243114	64.15	44.85	-19.30
1335364245518	67.34	45.41	-21.93
1335364250266	0.00	46.14	46.14
1335364252277	43.43	39.81	-3.62
1335364254579	43.30	40.36	-2.94
1335364256882	43.40	40.92	-2.48
1335364259185	44.43	41.47	-2.96
1335364261488	45.35	42.02	-3.33
1335364263788	46.41	42.58	-3.84
1335364266093	46.62	43.14	-3.48
1335364268394	47.16	43.69	-3.47
1335364270696	47.22	44.24	-2.98
1335364272999	47.78	44.80	-2.98
1335364275302	48.66	45.35	-3.31
1335364277604	49.48	45.91	-3.57
1335364283569	35.39	40.07	4.68
1335364286201	33.37	40.71	7.34
1335364288834	31.42	41.34	9.92
1335364291466	29.28	41.97	12.69
1335364294099	30.24	42.62	12.38
1335364296731	32.00	43.23	11.23
1335364299365	31.51	43.86	12.35
1335364301997	32.34	44.50	12.16
1335364304629	32.12	45.13	13.01
1335364307262	32.68	45.76	13.08
1335364314540	43.72	39.87	-3.85
1335364316590	44.28	40.37	-3.91
1335364318641	44.84	40.86	-3.98
1335364320687	45.42	41.36	-4.06
1335364322736	45.67	41.85	-3.82
1335364324786	46.41	42.35	-4.06
1335364326834	47.28	42.84	-4.44
1335364328883	48.02	43.34	-4.68
1335364330932	48.37	43.83	-4.54
1335364332982	48.74	44.34	-4.40
1335364335031	48.50	44.82	-3.68
1335364337079	48.62	45.32	-3.30
1335364339128	48.75	45.81	-2.94
1335364341177	49.19	46.31	-2.88
1335364345824	45.76	39.91	-5.85
1335364347991	46.17	40.44	-5.73
1335364350158	46.67	40.96	-5.71
1335364352325	46.82	41.49	-5.33
1335364354495	47.29	42.02	-5.27
1335364356659	47.39	42.54	-4.85
1335364358827	48.39	43.07	-5.32
1335364360994	48.99	43.59	-5.40
1335364363161	49.04	44.12	-4.92
1335364365328	48.98	44.64	-4.34
1335364367495	49.20	45.17	-4.03
1335364369663	49.39	45.69	-3.70
1335364371829	49.93	46.22	-3.71
1335364376707	42.54	39.56	-2.98
1335364378748	42.65	40.05	-2.60
1335364380789	43.46	40.55	-2.91
1335364382831	44.01	41.04	-2.97
1335364384871	44.38	41.54	-2.84
1335364386913	44.49	42.03	-2.46
1335364388955	44.68	42.53	-2.15
1335364390996	44.97	43.02	-1.95
1335364393037	45.42	43.52	-1.90
1335364395079	46.13	44.01	-2.12
1335364397120	46.57	44.50	-2.07
1335364399161	46.65	45.00	-1.65
1335364401202	46.77	45.49	-1.27
1335364403244	47.14	45.99	-1.15
1335364408176	49.73	39.85	-9.88
1335364410375	50.08	40.37	-9.71
1335364412571	50.04	40.90	-9.14
1335364414769	50.44	41.42	-9.02
1335364416965	50.94	41.95	-8.99
1335364419163	51.43	42.48	-8.95
1335364421360	51.90	43.00	-8.90
1335364423557	52.30	43.53	-8.77
1335364425755	52.77	44.05	-8.72
1335364427951	53.15	44.58	-8.57
1335364430148	53.50	45.11	-8.39
1335364432346	54.27	45.63	-8.64
1335364434543	54.28	46.16	-8.12
1335364470671	41.34	39.89	-1.45
1335364473126	42.31	40.46	-1.85
1335364475581	42.76	41.00	-1.76
1335364478037	43.57	41.56	-2.01
1335364480492	43.95	42.12	-1.83
1335364482947	44.68	42.68	-2.00
1335364485402	45.19	43.23	-1.96
1335364487856	45.34	43.79	-1.55
1335364490311	46.08	44.35	-1.73
1335364492766	46.52	44.91	-1.61
1335364495221	47.81	45.46	-2.35
1335364501724	42.94	39.14	-3.80
1335364503788	43.74	40.65	-3.09
1335364505852	44.64	41.15	-3.49
1335364507917	45.14	41.66	-3.48
1335364509982	45.62	42.16	-3.46
1335364512046	46.17	42.67	-3.50
1335364514110	46.66	43.17	-3.49
1335364516174	47.11	43.68	-3.43
1335364518238	47.53	44.18	-3.35
1335364520302	47.81	44.69	-3.12
1335364522367	48.13	45.20	-2.93
1335364524432	48.52	45.70	-2.82
1335364526495	48.82	46.24	-2.58
1335364528560	49.19	46.71	-2.48
1335364533544	45.49	39.92	-5.57
1335364535725	46.96	40.43	-6.53
1335364537904	49.69	40.94	-8.75
1335364540083	50.02	41.47	-8.55
1335364542265	50.93	41.95	-8.98
1335364544443	51.78	42.46	-9.32
1335364546623	53.06	42.97	-10.09
1335364548802	54.85	43.48	-11.37
1335364550983	55.72	43.99	-11.73
1335364553163	55.43	44.50	-10.93
1335364555343	54.51	45.01	-9.50
1335364557523	54.42	45.52	-8.90
1335364559703	55.24	46.03	-9.21
1335364627224	40.93	39.80	-1.13
1335364629535	40.92	40.37	-0.55
1335364631846	40.97	40.95	-0.02
1335364634157	41.79	41.52	-0.27
1335364636468	42.02	42.09	0.07
1335364638780	42.74	42.66	-0.08
1335364641090	42.78	43.23	0.45
1335364643401	42.69	43.80	1.11
1335364645712	44.52	44.38	-0.14
