1335358771095.818,0
1335358771095.842,292
1335358771095.861,315
1335358771095.874,324
1335358771095.889,452
1335358771095.902,461
1335358771095.916,589
1335358771095.941,864
1335358771096.161,951
1335358771099.697,2399
1335358771099.758,3847
1335358771099.877,5295
1335358771100.039,6743
1335358771100.124,8191
1335358771100.246,9639
1335358771103.505,11087
1335358771103.563,12535
1335358771103.732,13983
1335358771103.827,15431
1335358771103.947,16879
1335358771104.104,18327
1335358771104.189,19775
1335358771104.342,21223
1335358771104.443,22671
1335358771104.553,24119
1335358771104.715,25567
1335358771104.806,27015
1335358771104.918,28463
1335358771105.178,31359
1335358771105.461,34255
1335358771107.375,37151
1335358771107.608,40047
1335358771108.012,42943
1335358771108.253,45839
1335358771108.494,48735
1335358771108.773,51631
1335358771109.012,54527
1335358771109.255,57423
1335358771109.498,60319
1335358771109.749,63215
1335358771109.996,66111
1335358771110.233,69007
1335358771110.490,71903
1335358771110.735,74799
1335358771110.981,77695
1335358771111.233,80591
1335358771111.474,83487
1335358771112.286,86383
1335358771112.527,89279
1335358771112.766,92175
1335358771113.010,95071
1335358771113.266,97967
1335358771113.512,100863
1335358771113.750,103759
1335358771113.988,106655
1335358771114.229,109551
1335358771114.344,110999
1335358771114.458,112447
1335358771114.574,113895
1335358771114.742,115343
1335358771114.828,116791
1335358771114.979,118239
1335358771115.074,119687
1335358771115.190,121135
1335358771115.352,122583
1335358771115.446,124031
1335358771115.561,125479
1335358771115.725,126927
1335358771115.808,128375
1335358771115.968,129823
1335358771116.059,131271
1335358771116.177,132719
1335358771116.341,134167
1335358771116.429,135615
1335358771116.588,137063
1335358771116.675,138511
1335358771116.834,139959
1335358771116.919,141407
1335358771117.073,142855
1335358771117.157,144303
1335358771117.311,145751
1335358771117.418,147199
1335358771117.534,148647
1335358771117.740,150095
1335358771117.858,151543
1335358771118.020,152991
1335358771118.112,154439
1335358771118.233,155887
1335358771118.383,157335
1335358771118.479,158783
1335358771118.600,160231
1335358771118.749,161679
1335358771118.848,163127
1335358771118.965,164575
1335358771119.216,167471
1335358771119.461,170367
1335358771119.737,173263
1335358771119.974,176159
1335358771120.237,179055
1335358771120.478,181951
1335358771120.731,184847
1335358771120.969,187743
1335358771121.221,190639
1335358771121.466,193535
1335358771121.715,196431
1335358771121.951,199327
1335358771122.201,202223
1335358771122.446,205119
1335358771122.692,208015
1335358771122.937,210911
1335358771123.175,213807
1335358771123.413,216703
1335358771123.649,219599
1335358771123.928,222495
1335358771124.169,225391
1335358771124.262,226839
1335358771124.368,228287
1335358771124.528,229735
1335358771124.630,231183
1335358771124.736,232631
1335358771124.907,234079
1335358771124.999,235527
1335358771125.110,236975
1335358771125.274,238423
1335358771125.369,239871
1335358771125.476,241319
1335358771125.638,242767
